X;name.for.phylo;Family;Genus;Translation;Symbol
180;Acalypha_monostachya;Euphorbiaceae;Acalypha;Euphorbiaceae;ACMO
181;Acalypha_monococca;Euphorbiaceae;Acalypha;Euphorbiaceae;ACMO4
182;Acacia_montana;Fabaceae;Acacia;Fabaceae.undiff;ACMO9
183;Acacia_mucronata;Fabaceae;Acacia;Fabaceae.undiff;ACMU6
184;Acacia_multispicata;Fabaceae;Acacia;Fabaceae.undiff;ACMU7
185;Acacia_myrtifolia;Fabaceae;Acacia;Fabaceae.undiff;ACMY2
186;Acaena_myriophylla;Rosaceae;Acaena;Rosaceae.undiff;ACMY3
187;Acalypha_neomexicana;Euphorbiaceae;Acalypha;Euphorbiaceae;ACNE
188;Acer_negundo;Aceraceae;Acer;Acer;ACNE2
189;Acacia_neriifolia;Fabaceae;Acacia;Fabaceae.undiff;ACNE8
190;Acer_negundo;Aceraceae;Acer;Acer;ACNEA
191;Acer_negundo;Aceraceae;Acer;Acer;ACNEC2
192;Acer_negundo;Aceraceae;Acer;Acer;ACNEI2
193;Acer_negundo;Aceraceae;Acer;Acer;ACNEN
194;Acer_negundo;Aceraceae;Acer;Acer;ACNET
195;Acer_negundo;Aceraceae;Acer;Acer;ACNEV
196;Acer_nigrum;Aceraceae;Acer;Acer;ACNI5
197;Acacia_notabilis;Fabaceae;Acacia;Fabaceae.undiff;ACNO5
198;Acaena_novae-zelandiae;Rosaceae;Acaena;Rosaceae.undiff;ACNO7
199;Acacia_omalophylla;Fabaceae;Acacia;Fabaceae.undiff;ACOM
200;Acer_opalus;Aceraceae;Acer;Acer;ACOP3
201;Acer_opalus;Aceraceae;Acer;Acer;ACOPO
202;Acalypha_ostryifolia;Euphorbiaceae;Acalypha;Euphorbiaceae;ACOS
203;Acacia_oswaldii;Fabaceae;Acacia;Fabaceae.undiff;ACOS2
204;Acacia_oxycedrus;Fabaceae;Acacia;Fabaceae.undiff;ACOX3
205;Acaena_pallida;Rosaceae;Acaena;Rosaceae.undiff;ACPA14
206;Acacia_papyrocarpa;Fabaceae;Acacia;Fabaceae.undiff;ACPA16
207;Acer_palmatum;Aceraceae;Acer;Acer;ACPA2
208;Acacia_paradoxa;Fabaceae;Acacia;Fabaceae.undiff;ACPA8
209;Acacia_parramattensis;Fabaceae;Acacia;Fabaceae.undiff;ACPA81
210;Acacia_parvipinnula;Fabaceae;Acacia;Fabaceae.undiff;ACPA9
211;Acer_pensylvanicum;Aceraceae;Acer;Acer;ACPE
212;Acacia_penninervis;Fabaceae;Acacia;Fabaceae.undiff;ACPE10
213;Acacia_pendula;Fabaceae;Acacia;Fabaceae.undiff;ACPE8
214;Acalypha_phleoides;Euphorbiaceae;Acalypha;Euphorbiaceae;ACPH3
215;Acaena_pinnatifida;Rosaceae;Acaena;Rosaceae.undiff;ACPI3
216;Acaena_pinnatifida;Rosaceae;Acaena;Rosaceae.undiff;ACPIC2
217;Acer_platanoides;Aceraceae;Acer;Acer;ACPL
218;Acalypha_poiretii;Euphorbiaceae;Acalypha;Euphorbiaceae;ACPO
219;Acacia_podalyriifolia;Fabaceae;Acacia;Fabaceae.undiff;ACPO2
220;Acalypha_portoricensis;Euphorbiaceae;Acalypha;Euphorbiaceae;ACPO4
221;Acacia_prominens;Fabaceae;Acacia;Fabaceae.undiff;ACPR3
222;Acacia_pruinosa;Fabaceae;Acacia;Fabaceae.undiff;ACPR4
223;Acacia_pravissima;Fabaceae;Acacia;Fabaceae.undiff;ACPR6
224;Acer_pseudoplatanus;Aceraceae;Acer;Acer;ACPS
225;Acacia_pulchella;Fabaceae;Acacia;Fabaceae.undiff;ACPU3
226;Acacia_pycnantha;Fabaceae;Acacia;Fabaceae.undiff;ACPY3
227;Acacia_pyrifolia;Fabaceae;Acacia;Fabaceae.undiff;ACPY4
228;Acacia_quornensis;Fabaceae;Acacia;Fabaceae.undiff;ACQU2
229;Acalypha_radians;Euphorbiaceae;Acalypha;Euphorbiaceae;ACRA
230;Acacia_ramulosa;Fabaceae;Acacia;Fabaceae.undiff;ACRA5
231;Acacia_retinodes;Fabaceae;Acacia;Fabaceae.undiff;ACRE2
